pt,n,pct,law,n_win
Agriculture,196,2.798001427551749,ARRA,7005
Artificial Intelligence and Machine Learning,43,0.6138472519628837,ARRA,7005
Aviation - Airports and Air Traffic,26,0.371163454675232,ARRA,7005
Aviation - Commercial Space,3,0.042826552462526764,ARRA,7005
Broadband,93,1.3276231263383298,ARRA,7005
Carbon Capture and Sequestration,306,4.36830835117773,ARRA,7005
Conventional Energy Production - Coal,103,1.470378301213419,ARRA,7005
Conventional Energy Production - Land-based Oil & Gas,385,5.496074232690935,ARRA,7005
Conventional Energy Production - Nuclear,36,0.5139186295503212,ARRA,7005
Conventional Energy Production - Offshore Oil and Gas,29,0.41399000713775874,ARRA,7005
Conventional Energy Production - Other,220,3.140613847251963,ARRA,7005
Conventional Energy Production - Rural Energy,59,0.8422555317630264,ARRA,7005
Cybersecurity,37,0.5281941470378301,ARRA,7005
Data Storage and Data Management,141,2.012847965738758,ARRA,7005
Ecosystem Management and Restoration,319,4.553890078515346,ARRA,7005
Electricity Transmission,941,13.433261955745897,ARRA,7005
Emergency and Disaster Response,32,0.4568165596002855,ARRA,7005
Habitat Conservation Plan,43,0.6138472519628837,ARRA,7005
High Performance Computing and Advanced Computer Hardware and Software,138,1.9700214132762313,ARRA,7005
Land Development - Housing,300,4.282655246252677,ARRA,7005
Land Development - Other,835,11.92005710206995,ARRA,7005
Land Development - Urban,1024,14.618129907209136,ARRA,7005
Land Use or Forest Management Plan,116,1.655960028551035,ARRA,7005
"Laws, Policies, Regulations, and Guidance",636,9.079229122055674,ARRA,7005
Manufacturing,974,13.904354032833691,ARRA,7005
Military and Defense,104,1.484653818700928,ARRA,7005
Mining - Metals,20,0.28551034975017847,ARRA,7005
Mining - Non-Metallic Minerals,26,0.371163454675232,ARRA,7005
Nuclear Technology,474,6.766595289079229,ARRA,7005
Other,7,0.09992862241256245,ARRA,7005
Pipelines,103,1.470378301213419,ARRA,7005
Ports and Waterways,13,0.185581727337616,ARRA,7005
Public and Recreational Land Use,491,7.009279086366881,ARRA,7005
Rangeland Management,44,0.6281227694503926,ARRA,7005
Renewable Energy Production - Biomass,655,9.350463954318345,ARRA,7005
Renewable Energy Production - Energy Storage,316,4.511063526052819,ARRA,7005
Renewable Energy Production - Geothermal,491,7.009279086366881,ARRA,7005
Renewable Energy Production - Hydrokinetic,60,0.8565310492505354,ARRA,7005
Renewable Energy Production - Hydropower,50,0.7137758743754461,ARRA,7005
Renewable Energy Production - Other,359,5.124910778015703,ARRA,7005
Renewable Energy Production - Solar,951,13.576017130620984,ARRA,7005
"Renewable Energy Production - Wind, Offshore",47,0.6709493219129193,ARRA,7005
"Renewable Energy Production - Wind, Onshore",300,4.282655246252677,ARRA,7005
Research and Development,2966,42.34118486795146,ARRA,7005
Routine Maintenance,58,0.8279800142755175,ARRA,7005
Semiconductors,60,0.8565310492505354,ARRA,7005
Surface Transportation - Bridges,22,0.3140613847251963,ARRA,7005
Surface Transportation - Other,763,10.892219842969308,ARRA,7005
Surface Transportation - Public Transportation,151,2.1556031406138474,ARRA,7005
Surface Transportation - Railroads,14,0.1998572448251249,ARRA,7005
Threatened and Endangered Species Management,102,1.45610278372591,ARRA,7005
"Utilities (electricity, gas, telecommunications)",2429,34.67523197715917,ARRA,7005
